"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","rawtemp","rawfeeltemp","rawhumidity","rawwindspeed","Group"
116,4/26/2011,"spring",2011,4,"no",2,"yes","clear",0.631667,0.594083,0.729167,0.3265,678,3722,4400,21.688349,23.209478,72.9167,21.8755,1
117,4/27/2011,"spring",2011,4,"no",3,"yes","mist",0.62,0.575142,0.835417,0.3122,547,3325,3872,21.14,21.959372,83.5417,20.9174,1
118,4/28/2011,"spring",2011,4,"no",4,"yes","mist",0.6175,0.578929,0.700833,0.320908,569,3489,4058,21.0225,22.209314,70.0833,21.500836,1
119,4/29/2011,"spring",2011,4,"no",5,"yes","clear",0.51,0.497463,0.457083,0.240063,878,3717,4595,15.97,16.832558,45.7083,16.084221,1
120,4/30/2011,"spring",2011,4,"no",6,"no","clear",0.4725,0.464021,0.503333,0.235075,1965,3347,5312,14.2075,14.625386,50.3333,15.750025,1
122,5/2/2011,"spring",2011,5,"no",1,"yes","mist",0.549167,0.532833,0.73,0.183454,847,3554,4401,17.810849,19.166978,73,12.291418,1
123,5/3/2011,"spring",2011,5,"no",2,"yes","mist",0.616667,0.582079,0.697083,0.342667,603,3848,4451,20.983349,22.417214,69.7083,22.958689,1
126,5/6/2011,"spring",2011,5,"no",5,"yes","clear",0.479167,0.474117,0.59,0.228246,894,3714,4608,14.520849,15.291722,59,15.292482,1
127,5/7/2011,"spring",2011,5,"no",6,"no","clear",0.52,0.512621,0.54125,0.16045,1612,3102,4714,16.44,17.832986,54.125,10.75015,1
129,5/9/2011,"spring",2011,5,"no",1,"yes","clear",0.5325,0.525246,0.58875,0.176,664,3698,4362,17.0275,18.666236,58.875,11.792,1
131,5/11/2011,"spring",2011,5,"no",3,"yes","clear",0.5425,0.5284,0.632917,0.120642,550,3632,4182,17.4975,18.8744,63.2917,8.083014,1
132,5/12/2011,"spring",2011,5,"no",4,"yes","clear",0.535,0.523363,0.7475,0.189667,695,4169,4864,17.145,18.541958,74.75,12.707689,1
134,5/14/2011,"spring",2011,5,"no",6,"no","mist",0.520833,0.500629,0.9225,0.13495,902,2507,3409,16.479151,17.041514,92.25,9.04165,1
135,5/15/2011,"spring",2011,5,"no",0,"no","mist",0.5625,0.536,0.867083,0.152979,1582,2971,4553,18.4375,19.376,86.7083,10.249593,1
137,5/17/2011,"spring",2011,5,"no",2,"yes","mist",0.561667,0.538529,0.837917,0.277354,678,3445,4123,18.398349,19.542914,83.7917,18.582718,1
141,5/21/2011,"spring",2011,5,"no",6,"no","clear",0.6025,0.571975,0.626667,0.12065,2258,3547,5805,20.3175,21.75035,62.6667,8.08355,1
142,5/22/2011,"spring",2011,5,"no",0,"no","clear",0.604167,0.5745,0.749583,0.148008,1576,3084,4660,20.395849,21.917,74.9583,9.916536,1
145,5/25/2011,"spring",2011,5,"no",3,"yes","clear",0.660833,0.615542,0.69625,0.154233,740,4238,4978,23.059151,24.625772,69.625,10.333611,1
146,5/26/2011,"spring",2011,5,"no",4,"yes","clear",0.708333,0.654688,0.6775,0.199642,758,3919,4677,25.291651,27.209408,67.75,13.376014,1
147,5/27/2011,"spring",2011,5,"no",5,"yes","clear",0.681667,0.637008,0.65375,0.240679,871,3808,4679,24.038349,26.042528,65.375,16.125493,1
148,5/28/2011,"spring",2011,5,"no",6,"no","clear",0.655833,0.612379,0.729583,0.230092,2001,2757,4758,22.824151,24.417014,72.9583,15.416164,1
153,6/2/2011,"spring",2011,6,"no",4,"yes","clear",0.715,0.643942,0.305,0.292287,736,4232,4968,25.605,26.500172,30.5,19.583229,1
154,6/3/2011,"spring",2011,6,"no",5,"yes","clear",0.62,0.587133,0.354167,0.253121,898,4414,5312,21.14,22.750778,35.4167,16.959107,1
156,6/5/2011,"spring",2011,6,"no",0,"no","mist",0.648333,0.616804,0.6525,0.138692,1685,3221,4906,22.471651,24.709064,65.25,9.292364,1
157,6/6/2011,"spring",2011,6,"no",1,"yes","clear",0.678333,0.621858,0.6,0.121896,673,3875,4548,23.881651,25.042628,60,8.167032,1
158,6/7/2011,"spring",2011,6,"no",2,"yes","clear",0.7075,0.65595,0.597917,0.187808,763,4070,4833,25.2525,27.2927,59.7917,12.583136,1
160,6/9/2011,"spring",2011,6,"no",4,"yes","mist",0.808333,0.757579,0.568333,0.149883,563,3352,3915,29.991651,34.000214,56.8333,10.042161,1
162,6/11/2011,"spring",2011,6,"no",6,"no","clear",0.725,0.678038,0.654583,0.15485,1729,3237,4966,26.075,28.750508,65.4583,10.37495,1
166,6/15/2011,"spring",2011,6,"no",3,"yes","clear",0.626667,0.587754,0.471667,0.167912,769,4411,5180,21.453349,22.791764,47.1667,11.250104,1
170,6/19/2011,"spring",2011,6,"no",0,"no","mist",0.699167,0.645846,0.666667,0.102,1639,3105,4744,24.860849,26.625836,66.6667,6.834,1
171,6/20/2011,"spring",2011,6,"no",1,"yes","mist",0.635,0.595346,0.74625,0.155475,699,3311,4010,21.845,23.292836,74.625,10.416825,1
172,6/21/2011,"summer",2011,6,"no",2,"yes","mist",0.680833,0.637646,0.770417,0.171025,774,4061,4835,23.999151,26.084636,77.0417,11.458675,1
174,6/23/2011,"summer",2011,6,"no",4,"yes","mist",0.728333,0.693833,0.703333,0.238804,746,4044,4790,26.231651,29.792978,70.3333,15.999868,1
177,6/26/2011,"summer",2011,6,"no",0,"no","clear",0.68,0.637629,0.513333,0.0945333,1920,3385,5305,23.96,26.083514,51.3333,6.3337311,1
179,6/28/2011,"summer",2011,6,"no",2,"yes","clear",0.744167,0.692558,0.634167,0.144283,732,3916,4648,26.975849,29.708828,63.4167,9.666961,1
180,6/29/2011,"summer",2011,6,"no",3,"yes","clear",0.728333,0.654688,0.497917,0.261821,848,4377,5225,26.231651,27.209408,49.7917,17.542007,1
181,6/30/2011,"summer",2011,6,"no",4,"yes","clear",0.696667,0.637008,0.434167,0.185312,1027,4488,5515,24.743349,26.042528,43.4167,12.415904,1
182,7/1/2011,"summer",2011,7,"no",5,"yes","clear",0.7225,0.652162,0.39625,0.102608,1246,4116,5362,25.9575,27.042692,39.625,6.874736,1
184,7/3/2011,"summer",2011,7,"no",0,"no","mist",0.716667,0.668575,0.6825,0.228858,2282,2367,4649,25.683349,28.12595,68.25,15.333486,1
187,7/6/2011,"summer",2011,7,"no",3,"yes","clear",0.72,0.685633,0.743333,0.149883,784,3845,4629,25.84,29.251778,74.3333,10.042161,1
188,7/7/2011,"summer",2011,7,"no",4,"yes","clear",0.75,0.686871,0.65125,0.1592,754,3838,4592,27.25,29.333486,65.125,10.6664,1
189,7/8/2011,"summer",2011,7,"no",5,"yes","mist",0.709167,0.670483,0.757917,0.225129,692,3348,4040,25.330849,28.251878,75.7917,15.083643,1
190,7/9/2011,"summer",2011,7,"no",6,"no","clear",0.733333,0.664158,0.609167,0.167912,1988,3348,5336,26.466651,27.834428,60.9167,11.250104,1
191,7/10/2011,"summer",2011,7,"no",0,"no","clear",0.7475,0.690025,0.578333,0.183471,1743,3138,4881,27.1325,29.54165,57.8333,12.292557,1
193,7/12/2011,"summer",2011,7,"no",2,"yes","clear",0.794167,0.739275,0.559167,0.200254,662,3596,4258,29.325849,32.79215,55.9167,13.417018,1
196,7/15/2011,"summer",2011,7,"no",5,"yes","clear",0.663333,0.624371,0.59125,0.182833,1318,4220,5538,23.176651,25.208486,59.125,12.249811,1
198,7/17/2011,"summer",2011,7,"no",0,"no","clear",0.719167,0.669833,0.604167,0.245033,2006,3296,5302,25.800849,28.208978,60.4167,16.417211,1
201,7/20/2011,"summer",2011,7,"no",3,"yes","clear",0.768333,0.74685,0.707083,0.113817,644,3688,4332,28.111651,33.2921,70.7083,7.625739,1
205,7/24/2011,"summer",2011,7,"no",0,"no","clear",0.83,0.794829,0.550833,0.169171,1050,2556,3606,31.01,36.458714,55.0833,11.334457,1
206,7/25/2011,"summer",2011,7,"no",1,"yes","clear",0.743333,0.720958,0.757083,0.0908083,568,3272,3840,26.936651,31.583228,75.7083,6.0841561,1
207,7/26/2011,"summer",2011,7,"no",2,"yes","clear",0.771667,0.696979,0.540833,0.200258,750,3840,4590,28.268349,30.000614,54.0833,13.417286,1
211,7/30/2011,"summer",2011,7,"no",6,"no","clear",0.804167,0.728537,0.465833,0.168537,1559,2916,4475,29.795849,32.083442,46.5833,11.291979,1
212,7/31/2011,"summer",2011,7,"no",0,"no","clear",0.805833,0.729796,0.480833,0.164813,1524,2778,4302,29.874151,32.166536,48.0833,11.042471,1
215,8/3/2011,"summer",2011,8,"no",3,"yes","mist",0.731667,0.679937,0.6575,0.135583,467,3107,3574,26.388349,28.875842,65.75,9.084061,1
217,8/5/2011,"summer",2011,8,"no",5,"yes","clear",0.710833,0.656567,0.630833,0.184696,1023,3843,4866,25.409151,27.333422,63.0833,12.374632,1
225,8/13/2011,"summer",2011,8,"no",6,"no","mist",0.685833,0.645858,0.729583,0.211454,1504,2646,4150,24.234151,26.626628,72.9583,14.167418,1
226,8/14/2011,"summer",2011,8,"no",0,"no","mist",0.676667,0.624388,0.8175,0.222633,1338,2482,3820,23.803349,25.209608,81.75,14.916411,1
227,8/15/2011,"summer",2011,8,"no",1,"yes","clear",0.665833,0.616167,0.712083,0.208954,775,3563,4338,23.294151,24.667022,71.2083,13.999918,1
230,8/18/2011,"summer",2011,8,"no",4,"yes","clear",0.711667,0.662258,0.654583,0.233208,639,3166,3805,25.448349,27.709028,65.4583,15.624936,1
231,8/19/2011,"summer",2011,8,"no",5,"yes","mist",0.685,0.633221,0.722917,0.139308,797,3356,4153,24.195,25.792586,72.2917,9.333636,1
235,8/23/2011,"summer",2011,8,"no",2,"yes","clear",0.640833,0.606067,0.455417,0.146763,1281,4614,5895,22.119151,24.000422,45.5417,9.833121,1
237,8/25/2011,"summer",2011,8,"no",4,"yes","mist",0.684167,0.645854,0.771667,0.210833,435,3107,3542,24.155849,26.626364,77.1667,14.125811,1
238,8/26/2011,"summer",2011,8,"no",5,"yes","clear",0.7,0.659733,0.76125,0.0839625,768,3893,4661,24.9,27.542378,76.125,5.6254875,1
239,8/27/2011,"summer",2011,8,"no",6,"no","mist",0.68,0.635556,0.85,0.375617,226,889,1115,23.96,25.946696,85,25.166339,1
240,8/28/2011,"summer",2011,8,"no",0,"no","clear",0.707059,0.647959,0.561765,0.304659,1415,2919,4334,25.231773,26.765294,56.1765,20.412153,1
242,8/30/2011,"summer",2011,8,"no",2,"yes","clear",0.639167,0.594704,0.548333,0.125008,775,4429,5204,22.040849,23.250464,54.8333,8.375536,1
245,9/2/2011,"summer",2011,9,"no",5,"yes","mist",0.643333,0.604808,0.727083,0.139929,875,3852,4727,22.236651,23.917328,72.7083,9.375243,1
246,9/3/2011,"summer",2011,9,"no",6,"no","clear",0.669167,0.633213,0.716667,0.185325,1935,2549,4484,23.450849,25.792058,71.6667,12.416775,1
248,9/5/2011,"summer",2011,9,"yes",1,"no","mist",0.673333,0.625646,0.790417,0.212696,1236,2115,3351,23.646651,25.292636,79.0417,14.250632,1
249,9/6/2011,"summer",2011,9,"no",2,"yes","light precipitation",0.54,0.5152,0.886957,0.343943,204,2506,2710,17.38,18.0032,88.6957,23.044181,1
250,9/7/2011,"summer",2011,9,"no",3,"yes","light precipitation",0.599167,0.544229,0.917083,0.0970208,118,1878,1996,20.160849,19.919114,91.7083,6.5003936,1
253,9/10/2011,"summer",2011,9,"no",6,"no","clear",0.66,0.607962,0.75375,0.153608,1750,3595,5345,23.02,24.125492,75.375,10.291736,1
254,9/11/2011,"summer",2011,9,"no",0,"no","clear",0.653333,0.609229,0.71375,0.115054,1633,3413,5046,22.706651,24.209114,71.375,7.708618,1
257,9/14/2011,"summer",2011,9,"no",3,"yes","clear",0.673333,0.6269,0.697083,0.1673,647,4138,4785,23.646651,25.3754,69.7083,11.2091,1
260,9/17/2011,"summer",2011,9,"no",6,"no","mist",0.491667,0.478512,0.718333,0.189675,1434,3077,4511,15.108349,15.581792,71.8333,12.708225,1
263,9/20/2011,"summer",2011,9,"no",2,"yes","mist",0.561667,0.532217,0.88125,0.134954,438,3203,3641,18.398349,19.126322,88.125,9.041918,1
265,9/22/2011,"summer",2011,9,"no",4,"yes","mist",0.628333,0.554963,0.902083,0.128125,555,4240,4795,21.531651,20.627558,90.2083,8.584375,1
266,9/23/2011,"fall",2011,9,"no",5,"yes","mist",0.609167,0.522125,0.9725,0.0783667,258,2137,2395,20.630849,18.46025,97.25,5.2505689,1
267,9/24/2011,"fall",2011,9,"no",6,"no","mist",0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,20.513349,21.251192,86.25,5.2516811,1
268,9/25/2011,"fall",2011,9,"no",0,"no","mist",0.634167,0.572637,0.845,0.0503792,1544,3466,5010,21.805849,21.794042,84.5,3.3754064,1
269,9/26/2011,"fall",2011,9,"no",1,"yes","mist",0.649167,0.589042,0.848333,0.1107,684,3946,4630,22.510849,22.876772,84.8333,7.4169,1
270,9/27/2011,"fall",2011,9,"no",2,"yes","mist",0.636667,0.574525,0.885417,0.118171,477,3643,4120,21.923349,21.91865,88.5417,7.917457,1
272,9/29/2011,"fall",2011,9,"no",4,"yes","clear",0.616667,0.574512,0.699167,0.172883,653,4186,4839,20.983349,21.917792,69.9167,11.583161,1
273,9/30/2011,"fall",2011,9,"no",5,"yes","clear",0.564167,0.544829,0.6475,0.206475,830,4372,5202,18.515849,19.958714,64.75,13.833825,1
274,10/1/2011,"fall",2011,10,"no",6,"no","mist",0.41,0.412863,0.75375,0.292296,480,1949,2429,11.27,11.248958,75.375,19.583832,1
277,10/4/2011,"fall",2011,10,"no",2,"yes","clear",0.484167,0.472858,0.71,0.205854,486,3970,4456,14.755849,15.208628,71,13.792218,1
279,10/6/2011,"fall",2011,10,"no",4,"yes","clear",0.494167,0.480425,0.620833,0.134954,639,4126,4765,15.225849,15.70805,62.0833,9.041918,1
283,10/10/2011,"fall",2011,10,"yes",1,"no","clear",0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,18.829151,19.83305,73.375,2.8343814,1
284,10/11/2011,"fall",2011,10,"no",2,"yes","mist",0.566667,0.546096,0.80875,0.143042,667,3896,4563,18.633349,20.042336,80.875,9.583814,1
287,10/14/2011,"fall",2011,10,"no",5,"yes","mist",0.550833,0.529675,0.71625,0.223883,529,3115,3644,17.889151,18.95855,71.625,15.000161,1
290,10/17/2011,"fall",2011,10,"no",1,"yes","clear",0.534167,0.510725,0.579583,0.175379,713,3857,4570,17.105849,17.70785,57.9583,11.750393,1
292,10/19/2011,"fall",2011,10,"no",3,"yes","light precipitation",0.541739,0.513848,0.895217,0.243339,254,2170,2424,17.461733,17.913968,89.5217,16.303713,1
293,10/20/2011,"fall",2011,10,"no",4,"yes","clear",0.475833,0.466525,0.63625,0.422275,471,3724,4195,14.364151,14.79065,63.625,28.292425,1
294,10/21/2011,"fall",2011,10,"no",5,"yes","clear",0.4275,0.423596,0.574167,0.221396,676,3628,4304,12.0925,11.957336,57.4167,14.833532,1
295,10/22/2011,"fall",2011,10,"no",6,"no","clear",0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,11.8575,12.082472,62.9167,6.2086689,1
296,10/23/2011,"fall",2011,10,"no",0,"no","clear",0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,11.818349,11.873978,74.125,6.6673375,1
299,10/26/2011,"fall",2011,10,"no",3,"yes","mist",0.484167,0.472846,0.720417,0.148642,404,3490,3894,14.755849,15.207836,72.0417,9.959014,1
300,10/27/2011,"fall",2011,10,"no",4,"yes","mist",0.47,0.457046,0.812917,0.197763,240,2419,2659,14.09,14.165036,81.2917,13.250121,1
301,10/28/2011,"fall",2011,10,"no",5,"yes","mist",0.330833,0.318812,0.585833,0.229479,456,3291,3747,7.549151,5.041592,58.5833,15.375093,1
302,10/29/2011,"fall",2011,10,"no",6,"no","light precipitation",0.254167,0.227913,0.8825,0.351371,57,570,627,3.945849,-0.957742,88.25,23.541857,1
303,10/30/2011,"fall",2011,10,"no",0,"no","clear",0.319167,0.321329,0.62375,0.176617,885,2446,3331,7.000849,5.207714,62.375,11.833339,1
305,11/1/2011,"fall",2011,11,"no",2,"yes","clear",0.400833,0.397088,0.68375,0.135571,410,3658,4068,10.839151,10.207808,68.375,9.083257,1
306,11/2/2011,"fall",2011,11,"no",3,"yes","clear",0.3775,0.390133,0.71875,0.0820917,370,3816,4186,9.7425,9.748778,71.875,5.5001439,1
308,11/4/2011,"fall",2011,11,"no",5,"yes","mist",0.403333,0.403392,0.6225,0.271779,470,3576,4046,10.956651,10.623872,62.25,18.209193,1
311,11/7/2011,"fall",2011,11,"no",1,"yes","clear",0.395,0.400871,0.75875,0.057225,373,3662,4035,10.565,10.457486,75.875,3.834075,1
312,11/8/2011,"fall",2011,11,"no",2,"yes","clear",0.408333,0.412246,0.721667,0.0690375,376,3829,4205,11.191651,11.208236,72.1667,4.6255125,1
314,11/10/2011,"fall",2011,11,"no",4,"yes","mist",0.38,0.373721,0.813333,0.189067,190,2743,2933,9.86,8.665586,81.3333,12.667489,1
315,11/11/2011,"fall",2011,11,"yes",5,"no","clear",0.324167,0.306817,0.44625,0.314675,440,2928,3368,7.235849,4.249922,44.625,21.083225,1
317,11/13/2011,"fall",2011,11,"no",0,"no","clear",0.440833,0.43055,0.458333,0.281721,1004,2713,3717,12.719151,12.4163,45.8333,18.875307,1
321,11/17/2011,"fall",2011,11,"no",4,"yes","mist",0.341667,0.323221,0.575833,0.305362,139,2914,3053,8.058349,5.332586,57.5833,20.459254,1
323,11/19/2011,"fall",2011,11,"no",6,"no","clear",0.329167,0.324483,0.502083,0.224496,943,2720,3663,7.470849,5.415878,50.2083,15.041232,1
324,11/20/2011,"fall",2011,11,"no",0,"no","mist",0.463333,0.457058,0.684583,0.18595,787,2733,3520,13.776651,14.165828,68.4583,12.45865,1
325,11/21/2011,"fall",2011,11,"no",1,"yes","light precipitation",0.4475,0.445062,0.91,0.138054,220,2545,2765,13.0325,13.374092,91,9.249618,1
334,11/30/2011,"fall",2011,11,"no",3,"yes","clear",0.325,0.311221,0.613333,0.271158,188,3425,3613,7.275,4.540586,61.3333,18.167586,1
